Comment,Title,Protocol,Packetsize(byte),Streams(num),Duration(s),Received(Mbps),Send(Mbps),Jitter(ms),Lost(%),RTT_min(ms),RTT_avg(ms),RTT_max(ms),version
"r23630-842932a63d-flowY-irqY","2024-03-12 19:37 TCP UP MTU0128","TCP",88,5,60,165.74848718689768,166.18687696673607,"",0.2637932596363357,8175,12352,100662,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:39 TCP UP MTU0146","TCP",106,5,60,202.76228095768752,203.22132654792344,"",0.22588455554032327,6851,10982,26345,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:41 TCP UP MTU0256","TCP",216,5,60,425.40951907249035,426.19907941797084,"",0.1852562296846605,8767,11704,15747,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:43 TCP UP MTU0354","TCP",314,5,60,576.1791110015392,577.4685231743742,"",0.22328700545390934,11691,14540,19175,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:46 TCP UP MTU0512","TCP",472,5,60,731.4122482587861,733.265948328915,"",0.25280051178611096,13132,15385,19191,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:48 TCP UP MTU1024","TCP",984,5,60,885.841268225056,887.1605061152069,"",0.14870340609814958,3608,16603,454691,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:50 TCP UP MTU1280","TCP",1240,5,60,910.7383766050352,912.0391170138587,"",0.1426189276927281,4540,11138,111892,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:52 TCP UP MTU1360","TCP",1320,5,60,916.0508828906603,917.3155374575174,"",0.13786472759004242,3772,11450,59510,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:54 TCP UP MTU1400","TCP",1360,5,60,918.2893365377793,919.5775629773306,"",0.14008893772704534,3753,13378,159182,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:56 TCP UP MTU1440","TCP",1400,5,60,921.627363306062,922.8112276589964,"",0.1282888978212382,5379,11771,85261,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:59 TCP UP MTU1460","TCP",1420,5,60,922.914236708204,924.9616570267373,"",0.221351912587886,4277,10596,59053,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:01 TCP UP MTU1500","TCP",1460,5,60,926.0974096789425,927.5370876894234,"",0.15521514229336342,4220,10997,127810,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:38 TCP DL MTU0128","TCP",88,5,60,62.20102279492246,61.99858993450838,"",0.3254494079325765,2259,2620,3239,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:40 TCP DL MTU0146","TCP",106,5,60,73.68008259193675,73.5121793447223,"",0.22788145901566637,2251,2636,3220,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:42 TCP DL MTU0256","TCP",216,5,60,138.215748079842,138.0762048958533,"",0.10096040858389443,2274,2724,3866,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:44 TCP DL MTU0354","TCP",314,5,60,177.1916063598683,177.07661069758166,"",0.06489904609425778,2288,3147,19748,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:47 TCP DL MTU0512","TCP",472,5,60,192.75190064660097,192.64697149030084,"",0.0544374171918105,2191,3494,25626,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:49 TCP DL MTU1024","TCP",984,5,60,260.006967815067,260.05343205674734,"",-0.01787038327119017,2243,5081,32975,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:51 TCP DL MTU1280","TCP",1240,5,60,269.6230785958903,269.5857282604561,"",0.013852796143676294,2252,6376,37102,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:53 TCP DL MTU1360","TCP",1320,5,60,278.2460133856947,278.26137906059785,"",-0.005522334252394678,2336,5791,34513,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:55 TCP DL MTU1400","TCP",1360,5,60,276.14400470612713,276.19045946667836,"",-0.01682265765670099,2293,6109,32901,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 19:58 TCP DL MTU1440","TCP",1400,5,60,279.96084970382185,279.98103189417037,"",-0.00720893309542614,2346,5022,28191,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:00 TCP DL MTU1460","TCP",1420,5,60,273.597194526384,273.55936469824394,"",0.013826833350938372,2332,6559,32695,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:02 TCP DL MTU1500","TCP",1460,5,60,287.792602069453,287.7882408333255,"",0.0015154093941704971,2372,6558,35276,"iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:03 UDP UP MTU0128","UDP",100,5,60,204.94952925757062,251.28666897366634,0.00895175190568927,18.43995143289978,"","","","iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:05 UDP UP MTU0146","UDP",118,5,60,239.17061068625955,294.0136543908971,0.014134998408408391,18.653230176759955,"","","","iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:07 UDP UP MTU0256","UDP",228,5,60,463.0659082335229,484.9565171608707,0.01586883782230902,4.513932312015135,"","","","iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:09 UDP UP MTU0354","UDP",326,5,60,628.6972359290623,629.84284240287,0.023618887713356514,0.1818876830444945,"","","","iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:12 UDP UP MTU0512","UDP",484,5,60,778.3257520137685,780.0447245515484,0.02522328472569168,0.22036849530518393,"","","","iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:14 UDP UP MTU1024","UDP",996,5,60,930.7863216675231,937.7579194331443,0.03764758873605487,0.7434325662464593,"","","","iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:16 UDP UP MTU1280","UDP",1252,5,60,944.2465578744477,949.940147096179,0.04329041371337504,0.5993629429323253,"","","","iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:18 UDP UP MTU1360","UDP",1332,5,60,947.4191581260523,952.8126857841427,0.04729790555208606,0.5660639015295972,"","","","iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:20 UDP UP MTU1400","UDP",1372,5,60,948.8773725432359,954.1233506066072,0.04870812997180438,0.5498223148062047,"","","","iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:23 UDP UP MTU1440","UDP",1412,5,60,950.2568688492439,955.3686817191114,0.04031011018421279,0.5350618005050296,"","","","iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:25 UDP UP MTU1460","UDP",1432,5,60,934.7287225322699,982.3020188451859,0.039079342741671325,4.84304169188659,"","","","iperf 3.9"
"r23630-842932a63d-flowY-irqY","2024-03-12 20:27 UDP UP MTU1500","UDP",1472,5,60,952.0386792978773,956.9404348046014,0.04950388690229041,0.5122320395756934,"","","","iperf 3.9"
